ID,SX,SY,class,sort
1,121.52,31.309,3,0
2,121.505,31.294,6,0
3,121.375,31.107,3,0
4,121.528,31.263,5,0
5,121.434,31.249,5,0
6,121.436,31.136,0,0
7,121.387,31.103,5,0
8,121.495,31.216,5,0
9,121.528,31.266,7,0
10,121.424,31.225,4,0
11,121.427,31.172,5,0
12,121.379,31.254,1,0
13,121.386,31.314,7,0
14,121.534,31.321,0,0
15,121.538,31.271,0,0
16,121.453,31.21,5,0
17,121.475,31.33,7,0
18,121.473,31.202,5,0
19,121.398,31.232,5,0
20,121.436,31.318,5,0
21,121.518,31.31,0,0
22,121.411,31.289,5,0
23,121.459,31.195,7,0
24,121.449,31.279,7,0
25,121.353,31.284,3,0
26,121.545,31.272,5,0
27,121.424,31.183,4,0
28,121.402,31.237,5,0
29,121.482,31.207,5,0
30,121.462,31.17,4,0
31,121.449,31.334,2,0
32,121.531,31.328,5,0
33,121.364,31.213,5,0
34,121.475,31.206,0,0
35,121.453,31.334,7,0
36,121.391,31.28,5,0
37,121.43,31.256,4,0
38,121.35,31.192,0,0
39,121.396,31.281,5,0
40,121.54,31.306,5,0
41,121.489,31.325,7,0
42,121.421,31.201,0,0
43,121.312,31.235,0,0
44,121.493,31.217,1,0
45,121.486,31.314,2,0
46,121.518,31.308,5,0
47,121.433,31.143,7,0
48,121.389,31.276,4,0
49,121.456,31.188,3,0
50,121.531,31.288,5,0
51,121.45,31.186,0,0
52,121.492,31.223,4,0
53,121.494,31.29,0,0
54,121.48,31.199,3,0
55,121.521,31.309,7,0
56,121.54,31.3,5,0
57,121.523,31.27,1,0
58,121.525,31.22,3,0
59,121.496,31.21,0,0
60,121.471,31.292,3,0
61,121.522,31.283,0,0
62,121.431,31.335,0,0
63,121.526,31.254,4,0
64,121.501,31.219,0,0
65,121.554,31.287,3,0
66,121.482,31.282,5,0
67,121.382,31.187,0,0
68,121.433,31.123,1,0
69,121.487,31.282,0,0
70,121.402,31.183,7,0
71,121.541,31.318,5,0
72,121.493,31.307,7,0
73,121.453,31.235,5,0
74,121.516,31.311,0,0
75,121.376,31.31,5,0
76,121.538,31.33,0,0
77,121.428,31.196,4,0
78,121.449,31.239,7,0
79,121.405,31.27,0,0
80,121.523,31.257,0,0
81,121.419,31.159,3,0
82,121.459,31.192,5,0
83,121.494,31.315,2,0
84,121.425,31.345,3,0
85,121.532,31.329,7,0
86,121.466,31.31,1,0
87,121.54,31.328,0,0
88,121.541,31.305,0,0
89,121.533,31.268,5,0
90,121.531,31.256,5,0
91,121.503,31.311,0,0
92,121.414,31.2,1,0
93,121.537,31.331,5,0
94,121.435,31.224,2,0
95,121.497,31.316,3,0
96,121.501,31.335,7,0
97,121.524,31.328,0,0
98,121.514,31.303,2,0
99,121.37,31.129,6,0
100,121.431,31.303,3,0
101,121.48,31.311,0,0
102,121.513,31.331,5,0
103,121.448,31.134,0,0
104,121.494,31.315,3,0
105,121.54,31.303,5,0
106,121.371,31.262,5,0
107,121.531,31.283,0,0
108,121.515,31.311,0,0
109,121.473,31.205,5,0
